seed,lambda,cap,ok,moves,trigger_overlap,time_s
2033,1.0,1,True,21,0.1905,0.732
2033,1.0,2,True,21,0.1905,0.776
2033,1.0,4,True,28,0.1071,1.215
2033,1.0,none,True,28,0.1071,1.196
2034,1.0,1,True,28,0.25,1.446
2034,1.0,2,True,28,0.25,1.503
2034,1.0,4,True,28,0.25,2.059
2034,1.0,none,True,28,0.25,2.022
2035,1.0,1,True,28,0.25,0.835
2035,1.0,2,True,28,0.25,0.911
2035,1.0,4,True,25,0.24,0.398
2035,1.0,none,True,25,0.24,0.391
2036,1.0,1,True,27,0.1111,0.316
2036,1.0,2,True,27,0.1111,0.18
2036,1.0,4,True,27,0.1111,0.179
2036,1.0,none,True,27,0.1111,0.177
2037,1.0,1,True,27,0.1111,0.306
2037,1.0,2,True,27,0.1111,0.212
2037,1.0,4,True,27,0.1111,0.538
2037,1.0,none,True,27,0.1111,0.522
2038,1.0,1,False,,,27.129
2038,1.0,2,True,30,0.3333,9.631
2038,1.0,4,True,32,0.3438,8.233
2038,1.0,none,True,31,0.1935,8.124
2039,1.0,1,True,24,0.125,0.177
2039,1.0,2,True,27,0.2222,0.791
2039,1.0,4,True,27,0.2222,0.957
2039,1.0,none,True,27,0.2222,0.942
2040,1.0,1,True,23,0.0,5.431
2040,1.0,2,True,23,0.0,6.474
2040,1.0,4,True,28,0.1429,0.971
2040,1.0,none,True,28,0.1429,0.963
2041,1.0,1,True,29,0.1034,4.866
2041,1.0,2,True,29,0.1034,6.069
2041,1.0,4,True,24,0.3333,2.113
2041,1.0,none,True,24,0.3333,2.064
2042,1.0,1,False,,,26.788
2042,1.0,2,True,29,0.3448,3.073
2042,1.0,4,True,29,0.3448,1.259
2042,1.0,none,True,29,0.3448,1.283
2043,1.0,1,True,28,0.0,1.269
2043,1.0,2,True,29,0.1034,1.453
2043,1.0,4,True,29,0.1034,3.433
2043,1.0,none,True,29,0.1034,3.37
2044,1.0,1,True,29,0.1379,3.776
2044,1.0,2,True,29,0.2069,1.9
2044,1.0,4,True,29,0.2069,2.12
2044,1.0,none,True,29,0.2069,2.095
2045,1.0,1,True,25,0.0,1.901
